customer_id,last_name,first_name,email,password,phone_number,address
C001,Lê,Minh An,le.an1@gmail.com,Abcxyz@123,0987654321,"2 Đường số 1, Quận 2, TP.HCM"
C002,Vũ,Thành Chi,vu.chi2@gmail.com,Abcxyz@123,0987654322,"3 Đường số 2, Quận 3, TP.HCM"
C003,Ngô,Thanh Chi,ngo.chi3@gmail.com,Abcxyz@123,0987654323,"4 Đường số 3, Quận 4, TP.HCM"
C004,Hồ,Ngọc Dũng,ho.dung4@gmail.com,Abcxyz@123,0987654324,"5 Đường số 4, Quận 5, TP.HCM"
C005,Dương,Ngọc Nam,duong.nam5@gmail.com,Abcxyz@123,0987654325,"6 Đường số 5, Quận 1, TP.HCM"
C006,Võ,Thành An,vo.an6@gmail.com,Abcxyz@123,0987654326,"7 Đường số 6, Quận 2, TP.HCM"
C007,Đặng,Đức An,dang.an7@gmail.com,Abcxyz@123,0987654327,"8 Đường số 7, Quận 3, TP.HCM"
C008,Vũ,Ngọc Giang,vu.giang8@gmail.com,Abcxyz@123,0987654328,"9 Đường số 8, Quận 4, TP.HCM"
C009,Đinh,Thị Phương,dinh.phuong9@gmail.com,Abcxyz@123,0987654329,"10 Đường số 9, Quận 5, TP.HCM"
C010,Lê,Thanh Linh,le.linh10@gmail.com,Abcxyz@123,0987654320,"11 Đường số 10, Quận 1, TP.HCM"
C011,Lý,Thị Dũng,ly.dung11@gmail.com,Abcxyz@123,0987654321,"12 Đường số 11, Quận 2, TP.HCM"
C012,Hồ,Thanh Khánh,ho.khanh12@gmail.com,Abcxyz@123,0987654322,"13 Đường số 12, Quận 3, TP.HCM"
C013,Lê,Thành Dũng,le.dung13@gmail.com,Abcxyz@123,0987654323,"14 Đường số 13, Quận 4, TP.HCM"
C014,Phạm,Ngọc Khánh,pham.khanh14@gmail.com,Abcxyz@123,0987654324,"15 Đường số 14, Quận 5, TP.HCM"
C015,Đinh,Thị Phương,dinh.phuong15@gmail.com,Abcxyz@123,0987654325,"16 Đường số 15, Quận 1, TP.HCM"
C016,Đỗ,Hữu Giang,do.giang16@gmail.com,Abcxyz@123,0987654326,"17 Đường số 16, Quận 2, TP.HCM"
C017,Ngô,Hữu An,ngo.an17@gmail.com,Abcxyz@123,0987654327,"18 Đường số 17, Quận 3, TP.HCM"
C018,Hồ,Công Chi,ho.chi18@gmail.com,Abcxyz@123,0987654328,"19 Đường số 18, Quận 4, TP.HCM"
C019,Dương,Thanh Phương,duong.phuong19@gmail.com,Abcxyz@123,0987654329,"20 Đường số 19, Quận 5, TP.HCM"
C020,Đinh,Ngọc Dũng,dinh.dung20@gmail.com,Abcxyz@123,0987654320,"21 Đường số 20, Quận 1, TP.HCM"
C021,Ngô,Minh Khánh,ngo.khanh21@gmail.com,Abcxyz@123,0987654321,"22 Đường số 21, Quận 2, TP.HCM"
C022,Đào,Đức Dũng,dao.dung22@gmail.com,Abcxyz@123,0987654322,"23 Đường số 22, Quận 3, TP.HCM"
C023,Đỗ,Văn Nam,do.nam23@gmail.com,Abcxyz@123,0987654323,"24 Đường số 23, Quận 4, TP.HCM"
C024,Hoàng,Minh An,hoang.an24@gmail.com,Abcxyz@123,0987654324,"25 Đường số 24, Quận 5, TP.HCM"
C025,Dương,Thị Khánh,duong.khanh25@gmail.com,Abcxyz@123,0987654325,"26 Đường số 25, Quận 1, TP.HCM"
C026,Đỗ,Văn Hương,do.huong26@gmail.com,Abcxyz@123,0987654326,"27 Đường số 26, Quận 2, TP.HCM"
C027,Nguyễn,Công Chi,nguyen.chi27@gmail.com,Abcxyz@123,0987654327,"28 Đường số 27, Quận 3, TP.HCM"
C028,Vũ,Ngọc Hương,vu.huong28@gmail.com,Abcxyz@123,0987654328,"29 Đường số 28, Quận 4, TP.HCM"
C029,Mai,Đức Giang,mai.giang29@gmail.com,Abcxyz@123,0987654329,"30 Đường số 29, Quận 5, TP.HCM"
C030,Bùi,Kim Hương,bui.huong30@gmail.com,Abcxyz@123,0987654320,"31 Đường số 30, Quận 1, TP.HCM"
C031,Đỗ,Văn An,do.an31@gmail.com,Abcxyz@123,0987654321,"32 Đường số 31, Quận 2, TP.HCM"
C032,Phạm,Ngọc Hương,pham.huong32@gmail.com,Abcxyz@123,0987654322,"33 Đường số 32, Quận 3, TP.HCM"
C033,Vũ,Kim Khánh,vu.khanh33@gmail.com,Abcxyz@123,0987654323,"34 Đường số 33, Quận 4, TP.HCM"
C034,Hoàng,Công Linh,hoang.linh34@gmail.com,Abcxyz@123,0987654324,"35 Đường số 34, Quận 5, TP.HCM"
C035,Hồ,Kim Dũng,ho.dung35@gmail.com,Abcxyz@123,0987654325,"36 Đường số 35, Quận 1, TP.HCM"
C036,Đặng,Công Linh,dang.linh36@gmail.com,Abcxyz@123,0987654326,"37 Đường số 36, Quận 2, TP.HCM"
C037,Lê,Ngọc Bình,le.binh37@gmail.com,Abcxyz@123,0987654327,"38 Đường số 37, Quận 3, TP.HCM"
C038,Lý,Thị Khánh,ly.khanh38@gmail.com,Abcxyz@123,0987654328,"39 Đường số 38, Quận 4, TP.HCM"
C039,Nguyễn,Hữu Giang,nguyen.giang39@gmail.com,Abcxyz@123,0987654329,"40 Đường số 39, Quận 5, TP.HCM"
C040,Lý,Thành Nam,ly.nam40@gmail.com,Abcxyz@123,0987654320,"41 Đường số 40, Quận 1, TP.HCM"
C041,Vũ,Hữu Bình,vu.binh41@gmail.com,Abcxyz@123,0987654321,"42 Đường số 41, Quận 2, TP.HCM"
C042,Phan,Công An,phan.an42@gmail.com,Abcxyz@123,0987654322,"43 Đường số 42, Quận 3, TP.HCM"
C043,Trần,Thanh An,tran.an43@gmail.com,Abcxyz@123,0987654323,"44 Đường số 43, Quận 4, TP.HCM"
C044,Mai,Thanh Khánh,mai.khanh44@gmail.com,Abcxyz@123,0987654324,"45 Đường số 44, Quận 5, TP.HCM"
C045,Đỗ,Minh Linh,do.linh45@gmail.com,Abcxyz@123,0987654325,"46 Đường số 45, Quận 1, TP.HCM"
C046,Hoàng,Kim Linh,hoang.linh46@gmail.com,Abcxyz@123,0987654326,"47 Đường số 46, Quận 2, TP.HCM"
C047,Vũ,Công An,vu.an47@gmail.com,Abcxyz@123,0987654327,"48 Đường số 47, Quận 3, TP.HCM"
C048,Phan,Đức Bình,phan.binh48@gmail.com,Abcxyz@123,0987654328,"49 Đường số 48, Quận 4, TP.HCM"
C049,Hồ,Đức Bình,ho.binh49@gmail.com,Abcxyz@123,0987654329,"50 Đường số 49, Quận 5, TP.HCM"
C050,Trương,Thành Dũng,truong.dung50@gmail.com,Abcxyz@123,0987654320,"51 Đường số 50, Quận 1, TP.HCM"
C051,Bùi,Minh Hương,bui.huong51@gmail.com,Abcxyz@123,0987654321,"52 Đường số 51, Quận 2, TP.HCM"
C052,Phạm,Ngọc Giang,pham.giang52@gmail.com,Abcxyz@123,0987654322,"53 Đường số 52, Quận 3, TP.HCM"
C053,Đào,Kim Phương,dao.phuong53@gmail.com,Abcxyz@123,0987654323,"54 Đường số 53, Quận 4, TP.HCM"
C054,Phạm,Ngọc Hương,pham.huong54@gmail.com,Abcxyz@123,0987654324,"55 Đường số 54, Quận 5, TP.HCM"
C055,Đinh,Văn Linh,dinh.linh55@gmail.com,Abcxyz@123,0987654325,"56 Đường số 55, Quận 1, TP.HCM"
C056,Võ,Minh Linh,vo.linh56@gmail.com,Abcxyz@123,0987654326,"57 Đường số 56, Quận 2, TP.HCM"
